,gene,mean_spearman,combined_p
22989,LINC02822,-0.270935903215723,9.992007221626409e-16
31133,TCF7L1,-0.270278719988769,9.992007221626409e-16
8009,ADCY1,-0.269006107367549,9.992007221626409e-16
30736,STXBP6,-0.26816968087484,9.992007221626409e-16
20276,KCND2,-0.267903305090565,9.992007221626409e-16
14538,CDH6,-0.267811641471048,9.992007221626409e-16
10794,AL450332.1,-0.267195975062131,9.992007221626409e-16
18065,FUT9,-0.265605558925866,9.992007221626409e-16
26822,PLEK,-0.26356557912815,9.992007221626409e-16
41045,ENSG00000227681,-0.26256433826411,9.992007221626409e-16
30702,STRN,-0.262221411273775,9.992007221626409e-16
28880,SASH1,-0.261724329405227,9.992007221626409e-16
10710,AL445123.2,-0.259991599344046,9.992007221626409e-16
15846,DACH1,-0.259579919456744,9.992007221626409e-16
24976,NFATC2,-0.25725126545541,9.992007221626409e-16
28315,RIC8B,-0.256333266511923,1.11022302462516e-15
27658,PTPN7,-0.255382501481378,9.992007221626409e-16
18538,GNG7,-0.253560877523163,9.992007221626409e-16
17198,EXTL2,-0.251589945309354,9.992007221626409e-16
33377,YARS,-0.251439272899572,9.992007221626409e-16
31387,THSD4,-0.25099774634596,9.992007221626409e-16
28921,SCARA3,-0.250835694647581,9.992007221626409e-16
28499,ROBO2,-0.250521801159277,9.992007221626409e-16
16993,EPHA5,-0.250297379269201,9.992007221626409e-16
14888,CHRM3,-0.249288654904842,9.992007221626409e-16
29916,SMAD3,-0.248712859916593,9.992007221626409e-16
42862,ENSG00000286685,-0.247063989205703,9.992007221626409e-16
16222,DLC1,-0.242996324783827,9.992007221626409e-16
25596,ONECUT2,-0.242609919052799,1.11022302462516e-15
18933,GUCY1A2,-0.241080751134545,9.992007221626409e-16
16449,DPP6,-0.239416970334901,9.992007221626409e-16
20186,JCAD,-0.236527097527661,9.992007221626409e-16
8014,ADCY5,-0.235507217745402,9.992007221626409e-16
22360,LINC02137,-0.234856893155223,1.11022302462516e-15
25039,NIN,-0.234845852060718,9.992007221626409e-16
28754,RTTN,-0.234570456867558,9.992007221626409e-16
17194,EXPH5,-0.234283817384887,9.992007221626409e-16
18513,GNAO1,-0.234060820168544,9.992007221626409e-16
12832,ATP2B1,-0.232273097661263,9.992007221626409e-16
29848,SLC9A1,-0.231781941468742,9.992007221626409e-16
19468,HS3ST5,-0.231601897711046,1.11022302462516e-15
20462,KIAA1217,-0.230045221028944,9.992007221626409e-16
28971,SCN4B,-0.228918766702685,9.992007221626409e-16
18824,GRM3,-0.228655983733842,9.992007221626409e-16
27338,PRKD1,-0.228644082975922,9.992007221626409e-16
20018,IQCJ-SCHIP1,-0.228077377434018,9.992007221626409e-16
29723,SLC38A11,-0.226592819420705,9.992007221626409e-16
23125,LOXHD1,-0.225522216299887,9.992007221626409e-16
29405,SIK3,-0.223515730249892,9.992007221626409e-16
4029,AC062028.1,-0.222542651563122,9.992007221626409e-16
347,AC004551.1,-0.22138344463583,9.992007221626409e-16
20002,IQCA1,-0.221241773862553,9.992007221626409e-16
14398,CD226,-0.219824226512614,9.992007221626409e-16
26187,PCAT1,-0.219065843346861,9.992007221626409e-16
20143,ITPR1,-0.218294887935763,9.992007221626409e-16
28099,RCAN2,-0.217839930441567,9.992007221626409e-16
14221,CCDC39,-0.217207202054394,1.11022302462516e-15
27974,RASD2,-0.217194477341006,1.11022302462516e-15
33252,WFDC2,-0.216764338712918,9.992007221626409e-16
24370,MSI2,-0.216062640164613,9.992007221626409e-16
18795,GRID2IP,-0.215231594977588,9.992007221626409e-16
88,ABHD12B,-0.213088711288306,1.11022302462516e-15
7951,ADAM12,-0.211076765027863,1.11022302462516e-15
30701,STRIT1,-0.211038485087566,9.992007221626409e-16
41047,ENSG00000287976,-0.210261182837551,9.992007221626409e-16
27206,PPP2R2C,-0.20951735856411,9.992007221626409e-16
26766,PLA2R1,-0.209264053609242,9.992007221626409e-16
30561,ST3GAL6,-0.209125669043771,9.992007221626409e-16
20373,KCTD1,-0.209028572406899,9.992007221626409e-16
15405,CPNE8,-0.207788506388054,9.992007221626409e-16
13944,CAMKK2,-0.207495436837265,9.992007221626409e-16
14213,CCDC3,-0.20689685136259,9.992007221626409e-16
29045,SEC14L5,-0.206890220896005,9.992007221626409e-16
8624,AL033523.1,-0.206486948314652,9.992007221626409e-16
26808,PLCL2,-0.205914220959848,9.992007221626409e-16
19943,INPP5A,-0.205716238131826,1.11022302462516e-15
2530,AC013643.2,-0.205497357893721,9.992007221626409e-16
12909,ATXN1,-0.205033858864458,9.992007221626409e-16
33266,WIPF3,-0.205029056653932,1.11022302462516e-15
30954,TANC2,-0.204218256142672,9.992007221626409e-16
28290,RHOBTB3,-0.204071345882189,9.992007221626409e-16
17728,FGF14,-0.203777388922316,9.992007221626409e-16
23147,LPL,-0.203734146421512,1.11022302462516e-15
19467,HS3ST4,-0.203679220157101,9.992007221626409e-16
18804,GRIN2A,-0.203193408090246,9.992007221626409e-16
28118,RCSD1,-0.203097432331909,9.992007221626409e-16
18727,GPR63,-0.202738667336161,9.992007221626409e-16
40481,ENSG00000289953,-0.201769826343912,9.992007221626409e-16
24799,NCKAP5,-0.201199659588801,9.992007221626409e-16
13875,CACNA2D3,-0.20083638463545,1.11022302462516e-15
26369,PDE8B,-0.200834894888452,9.992007221626409e-16
20333,KCNK2,-0.200631643223793,9.992007221626409e-16
20581,KLHDC8A,0.200802615735341,9.992007221626409e-16
28975,SCN9A,0.202740422003189,9.992007221626409e-16
17556,FAT2,0.203055323370255,1.0547118733939e-15
24184,MPDZ,0.204414204594574,1.11022302462516e-15
33152,WASHC4,0.205748822706797,9.992007221626409e-16
16301,DNAH14,0.205961212876557,1.11022302462516e-15
24633,MYRIP,0.206136714317891,9.992007221626409e-16
26427,PEA15,0.206654360215898,9.992007221626409e-16
18121,GABRA3,0.207480034203759,1.11022302462516e-15
11634,ANO4,0.209603190789447,9.992007221626409e-16
21784,LINC01484,0.212527083038647,9.992007221626409e-16
2488,AC013287.1,0.213086174871555,9.992007221626409e-16
109,ABI3BP,0.213897433471692,9.992007221626409e-16
30191,SORL1,0.21432905757751,9.992007221626409e-16
775,AC005999.2,0.21461903352777,9.992007221626409e-16
33577,ZBTB20,0.216812497904775,9.992007221626409e-16
23528,MAP2,0.217439910732683,1.11022302462516e-15
23031,LINGO2,0.218753078102804,9.992007221626409e-16
14520,CDH12,0.219584238530439,9.992007221626409e-16
29702,SLC35F1,0.220655964085921,9.992007221626409e-16
29340,SHC2,0.221211630149233,1.11022302462516e-15
26519,PGM2L1,0.222444862296427,9.992007221626409e-16
15473,CREG2,0.222746613058785,1.11022302462516e-15
27497,PSD3,0.223561607767511,1.11022302462516e-15
30337,SPEF2,0.226670353109888,9.992007221626409e-16
23276,LRRK1,0.227592387521042,9.992007221626409e-16
15535,CRYM,0.228060235925566,1.33226762955019e-15
1787,AC009899.1,0.231394469028894,9.992007221626409e-16
25228,NPFFR1,0.231549002030181,9.992007221626409e-16
26350,PDE1C,0.233731430133879,1.11022302462516e-15
31551,TMEFF2,0.234000003278796,9.992007221626409e-16
26293,PCLO,0.236280565670245,9.992007221626409e-16
24744,NAV3,0.236717963186894,9.992007221626409e-16
30571,ST6GALNAC5,0.2372491302174,9.992007221626409e-16
25536,OCA2,0.240519882301927,9.992007221626409e-16
29246,SFT2D2,0.240942788784367,9.992007221626409e-16
18125,GABRB1,0.241726885668162,9.992007221626409e-16
27110,PPFIA2,0.243824195293723,9.992007221626409e-16
28260,RGS6,0.245551714933544,9.992007221626409e-16
16977,EPB41L4B,0.24594837382862,9.992007221626409e-16
12838,ATP2B4,0.246125597034169,9.992007221626409e-16
18509,GNAI1,0.252018047433336,9.992007221626409e-16
20389,KCTD4,0.254786397630469,9.992007221626409e-16
8298,AK5,0.256418646140139,9.992007221626409e-16
25622,OPRM1,0.25796935948961,9.992007221626409e-16
13282,BRINP3,0.264217396590331,9.992007221626409e-16
22149,LINC01902,0.26934913466597,9.992007221626409e-16
20477,KIAA2012,0.270556130236923,9.992007221626409e-16
33103,VSNL1,0.27361178636217,1.11022302462516e-15
18123,GABRA5,0.274028263612275,9.992007221626409e-16
17038,ERC2,0.275902334626954,9.992007221626409e-16
26077,PALMD,0.287986891166893,9.992007221626409e-16
16124,DGKK,0.294597313798479,9.992007221626409e-16
25993,P2RY1,0.295835593995383,9.992007221626409e-16
113,ABLIM1,0.296893940944669,9.992007221626409e-16
34304,ZNF83,0.297129910493696,9.992007221626409e-16
28498,ROBO1,0.308884153492925,9.992007221626409e-16
18186,GALNTL6,0.312589479275601,9.992007221626409e-16
18791,GRIA4,0.317240029304359,9.992007221626409e-16
13895,CADM1,0.330091794174326,9.992007221626409e-16
19063,HCN1,0.337686568502138,9.992007221626409e-16
18289,GDA,0.375323225692596,9.992007221626409e-16
27342,PRKG1,0.379186902268192,9.992007221626409e-16
12520,ARHGAP6,0.393592098530599,9.992007221626409e-16
